,SPY,Regime,Level,Equity_vs_Bond,US10Y,Jobless_Claims_MA,VIX,Market_Breadth,spread_10y2y,DXY,Copper_Gold_Ratio
2010-01-29,80.3519058227539,0,4,2.9537489385549986,3.63,473800.0,24.6200008392334,0.3644693708676083,2.81,79.45999908447266,0.002812557713586978
2010-02-01,81.6014404296875,0,4,2.92108387742369,3.68,475200.0,22.59000015258789,0.3649919490739425,2.8200000000000003,79.23999786376953,0.0027877387451823517
2010-02-02,82.58909606933594,0,4,2.9325668016874333,3.67,477200.0,21.479999542236328,0.36610113626475016,2.81,79.01000213623047,0.0027608734300544444
2010-02-03,82.17759704589844,0,4,2.9349889541264154,3.73,479200.0,21.600000381469727,0.3655099087546752,2.85,79.37000274658203,0.002670505551513638
2010-02-04,79.64108276367188,0,4,2.978980620974118,3.62,481200.0,26.07999992370605,0.36454754109605053,2.8200000000000003,79.91999816894531,0.002706607584413676
2010-02-05,79.80571746826172,0,4,3.018841542128535,3.59,483200.0,26.11000061035156,0.36475555899714107,2.82,80.44000244140625,0.002712412301838758
2010-02-08,79.22956085205078,0,4,3.0271556412628393,3.62,483700.0,26.51000022888184,0.36460347198596554,2.83,80.30000305175781,0.0027301304466161996
2010-02-09,80.2247085571289,0,4,2.9684593817331093,3.67,483550.0,26.0,0.36562045866308174,2.83,79.86000061035156,0.0027709669723375305
2010-02-10,80.06758880615234,0,4,2.9704568916783356,3.72,483400.0,25.399999618530277,0.36547655993990824,2.81,80.02999877929688,0.002775608779984554
2010-02-11,80.90558624267578,0,4,2.924444937162581,3.73,483250.0,23.959999084472656,0.36566877021614586,2.82,79.98999786376953,0.0028600804714991133
2010-02-12,80.8382797241211,0,4,2.9592592101248356,3.69,483100.0,22.729999542236328,0.365689054974053,2.85,80.31999969482422,0.0028260669997111545
2010-02-16,82.11024475097656,0,4,2.930351708237838,3.66,484100.0,22.25,0.36655642436589614,2.8400000000000003,79.69999694824219,0.0028754576597045623
2010-02-17,82.49933624267578,0,4,2.9338216636244376,3.74,483200.0,21.71999931335449,0.3671495557390941,2.87,80.37999725341797,0.0028928093954940733
2010-02-18,82.98567962646484,0,4,2.939971620896313,3.79,482300.0,20.6299991607666,0.36749084015875927,2.89,80.4000015258789,0.0029382827243566085
2010-02-19,83.1577377319336,0,4,2.9715031223250934,3.78,481400.0,20.020000457763672,0.36838888235962786,2.83,80.63999938964844,0.0029938463982428104
2010-02-22,83.1727523803711,0,4,2.9682704972544176,3.8,481050.0,19.940000534057617,0.3680462736773318,2.8899999999999997,80.51000213623047,0.0029718677247831155
2010-02-23,82.16260528564453,0,4,3.0014924940509276,3.69,482500.0,21.3700008392334,0.3672552749192444,2.82,80.8499984741211,0.002914664123484306
2010-02-24,82.91834259033203,0,4,3.0002810967507685,3.7,483950.0,20.270000457763672,0.36760451729543414,2.83,80.8499984741211,0.002950752482694738
2010-02-25,82.80609130859375,0,4,3.0210777005699474,3.64,485400.0,20.100000381469727,0.3687504146105057,2.8200000000000003,80.79000091552734,0.002881837853155966
2010-02-26,82.8584976196289,0,4,2.9927290716506407,3.61,486850.0,19.5,0.36823991943596335,2.8,80.36000061035156,0.0029227398255687025
2010-03-01,83.71894073486328,0,4,2.9734355702750714,3.61,487700.0,19.26000022888184,0.3704956772444597,2.8099999999999996,80.66000366210938,0.0029817496860741126
2010-03-02,83.9509048461914,0,4,2.9481880725602894,3.62,487300.0,19.059999465942383,0.3704761790513716,2.8200000000000003,80.5199966430664,0.002986630197705263
2010-03-03,84.02569580078125,0,4,2.9471380919399834,3.63,486900.0,18.82999992370605,0.3713317693620217,2.81,79.9800033569336,0.002992036454406357
2010-03-04,84.28008270263672,0,4,2.97161563638704,3.61,486500.0,18.71999931335449,0.37057455041790993,2.75,80.55999755859375,0.002967067075501449
2010-03-05,85.4847412109375,0,4,2.937541955639788,3.69,486100.0,17.420000076293945,0.37153755545908773,2.78,80.43000030517578,0.0029983254915110146
2010-03-08,85.49972534179688,0,4,2.9359053263521897,3.72,484900.0,17.790000915527344,0.37218927294759707,2.8200000000000003,80.43000030517578,0.0030228730726475908
2010-03-09,85.64189147949219,0,4,2.9243747108663203,3.71,485200.0,17.920000076293945,0.37157143615636673,2.82,80.58999633789062,0.0030285205008086886
2010-03-10,86.02344512939453,0,4,2.9168772891451256,3.73,485500.0,18.56999969482422,0.3724174110320245,2.81,80.44999694824219,0.003028524888243631
2010-03-11,86.38260650634766,0,4,2.92834928914923,3.73,485800.0,18.059999465942383,0.37184465650698917,2.76,80.31999969482422,0.0030379060803768006
2010-03-12,86.39008331298828,0,4,2.9385137388750544,3.71,486100.0,17.579999923706055,0.3719898958971489,2.74,79.83000183105469,0.0030590103693133963
2010-03-15,86.41252899169922,0,4,2.96074741582694,3.71,486700.0,18.0,0.37171589605503597,2.75,80.25,0.002992489362824657
2010-03-16,87.10090637207031,0,4,2.946310721016402,3.66,486150.0,17.690000534057617,0.3725609622572262,2.73,79.75,0.0029914456055963727
2010-03-17,87.61717987060547,0,4,2.9320582647875693,3.65,485600.0,16.90999984741211,0.3733390490326719,2.7,79.63999938964844,0.0030338079055433173
2010-03-18,87.57225036621094,0,4,2.953026488304941,3.68,485050.0,16.6200008392334,0.37186823449875284,2.7,80.22000122070312,0.0030047010593638075
2010-03-19,87.12902069091797,0,4,2.976599710489714,3.7,484500.0,16.969999313354492,0.3718634784493232,2.68,80.72000122070312,0.003038197554272731
2010-03-22,87.59481048583984,0,4,2.9816536228933286,3.67,483100.0,16.8700008392334,0.3723426947311468,2.66,80.6500015258789,0.003067861178005669
2010-03-23,88.2109146118164,0,4,2.981708316393246,3.69,481700.0,16.350000381469727,0.372616984926718,2.67,80.9000015258789,0.0030534661729032225
2010-03-24,87.78264617919922,0,4,3.0120921163736454,3.84,480300.0,17.549999237060547,0.3716335268494358,2.76,81.83999633789062,0.003064945805856953
2010-03-25,87.63990783691406,0,4,3.015281758906353,3.91,478900.0,18.399999618530277,0.3706603420277531,2.81,82.12000274658203,0.0030850189458534855
2010-03-26,87.58729553222656,0,4,2.998807163393278,3.86,477500.0,17.770000457763672,0.371497221051612,2.82,81.68000030517578,0.003072812930181239
2010-03-29,88.1432876586914,0,4,2.964468879389895,3.88,476050.0,17.59000015258789,0.3721183209691376,2.84,81.36000061035156,0.003178870442593093
2010-03-30,88.203369140625,0,4,2.9551888286065338,3.88,474600.0,17.1299991607666,0.3721261981670777,2.82,81.47000122070312,0.0032186510337321884
2010-03-31,87.90284729003906,0,4,2.9367286065841247,3.84,473150.0,17.59000015258789,0.37217428617999476,2.82,81.06999969482422,0.003185125166883147
2010-04-01,88.50389862060547,0,4,2.881555104071627,3.89,471700.0,17.469999313354492,0.3726859707994124,2.84,80.77999877929688,0.0031792729360449632
2010-04-05,89.22517395019531,0,4,2.8790588430500574,4.01,471250.0,17.020000457763672,0.37449659775413635,2.83,81.08999633789062,0.00320063540416651
